;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/30/2020 7:43:18 PM
;----------------------------------------------

;Address Opcode 	ASM
0x003D	0x3005      	MOVLW      5
0x003E	0x0653      	XORWF      _SetMoist, 0
L__interrupt50:
0x003F	0x1D03      	BTFSS      STATUS, 2
0x0040	0x2842      	GOTO       L_interrupt5
;TheProject.c,51 :: 		{}
0x0041	0x2848      	GOTO       L_interrupt6
L_interrupt5:
;TheProject.c,54 :: 		SetMoist--;
0x0042	0x3001      	MOVLW      1
0x0043	0x02D3      	SUBWF      _SetMoist, 1
0x0044	0x1C03      	BTFSS      STATUS, 0
0x0045	0x03D4      	DECF       _SetMoist+1, 1
;TheProject.c,55 :: 		cset=0;
0x0046	0x01D5      	CLRF       _cset
0x0047	0x01D6      	CLRF       _cset+1
;TheProject.c,56 :: 		}
L_interrupt6:
;TheProject.c,57 :: 		}
L_interrupt4:
;TheProject.c,59 :: 		if(portb.b5==1)
0x0048	0x1E86      	BTFSS      PORTB, 5
0x0049	0x2850      	GOTO       L_interrupt7
;TheProject.c,61 :: 		turnON=1;
0x004A	0x3001      	MOVLW      1
0x004B	0x00AA      	MOVWF      _turnON
0x004C	0x3000      	MOVLW      0
0x004D	0x00AB      	MOVWF      _turnON+1
;TheProject.c,62 :: 		portc.b0 =!portc.b0;
0x004E	0x3001      	MOVLW      1
0x004F	0x0687      	XORWF      PORTC, 1
;TheProject.c,63 :: 		}
L_interrupt7:
;TheProject.c,64 :: 		intcon.b0=0;
0x0050	0x100B      	BCF        INTCON, 0
;TheProject.c,65 :: 		}
L_interrupt0:
;TheProject.c,67 :: 		if(portb.b4==1)
0x0051	0x1E06      	BTFSS      PORTB, 4
0x0052	0x2857      	GOTO       L_interrupt8
;TheProject.c,69 :: 		turnON=1;
0x0053	0x3001      	MOVLW      1
0x0054	0x00AA      	MOVWF      _turnON
0x0055	0x3000      	MOVLW      0
0x0056	0x00AB      	MOVWF      _turnON+1
;TheProject.c,70 :: 		}
L_interrupt8:
;TheProject.c,73 :: 		if(INTCON.b2 ==1)
0x0057	0x1D0B      	BTFSS      INTCON, 2
0x0058	0x28B0      	GOTO       L_interrupt9
;TheProject.c,75 :: 		sensingCounter++;
0x0059	0x0ADD      	INCF       _sensingCounter, 1
0x005A	0x1903      	BTFSC      STATUS, 2
0x005B	0x0ADE      	INCF       _sensingCounter+1, 1
;TheProject.c,76 :: 		screenCounter++;
0x005C	0x0ADF      	INCF       _screenCounter, 1
0x005D	0x1903      	BTFSC      STATUS, 2
0x005E	0x0AE0      	INCF       _screenCounter+1, 1
;TheProject.c,79 :: 		if(sensingCounter==50)
0x005F	0x3000      	MOVLW      0
0x0060	0x065E      	XORWF      _sensingCounter+1, 0
0x0061	0x1D03      	BTFSS      STATUS, 2
0x0062	0x2865      	GOTO       L__interrupt51
0x0063	0x3032      	MOVLW      50
0x0064	0x065D      	XORWF      _sensingCounter, 0
L__interrupt51:
0x0065	0x1D03      	BTFSS      STATUS, 2
0x0066	0x28A3      	GOTO       L_interrupt10
;TheProject.c,81 :: 		sensingCounter=0;
0x0067	0x01DD      	CLRF       _sensingCounter
0x0068	0x01DE      	CLRF       _sensingCounter+1
;TheProject.c,82 :: 		getMoist=ADC_Read(0);
0x0069	0x01ED      	CLRF       FARG_ADC_Read_channel
0x006A	0x222F      	CALL       _ADC_Read
0x006B	0x0870      	MOVF       R0, 0
0x006C	0x1283      	BCF        STATUS, 5
0x006D	0x00AC      	MOVWF      _getMoist
0x006E	0x0871      	MOVF       R0+1, 0
0x006F	0x00AD      	MOVWF      _getMoist+1
;TheProject.c,83 :: 		getMoist=(getMoist/1024.0)*100.0;
0x0070	0x2211      	CALL       _int2double
0x0071	0x3000      	MOVLW      0
0x0072	0x00F4      	MOVWF      R4
0x0073	0x3000      	MOVLW      0
0x0074	0x00F5      	MOVWF      R4+1
0x0075	0x3000      	MOVLW      0
0x0076	0x00F6      	MOVWF      R4+2
0x0077	0x3089      	MOVLW      137
0x0078	0x00F7      	MOVWF      R4+3
0x0079	0x22B8      	CALL       _Div_32x32_FP
0x007A	0x3000      	MOVLW      0
0x007B	0x00F4      	MOVWF      R4
0x007C	0x3000      	MOVLW      0
0x007D	0x00F5      	MOVWF      R4+1
0x007E	0x3048      	MOVLW      72
0x007F	0x00F6      	MOVWF      R4+2
0x0080	0x3085      	MOVLW      133
0x0081	0x00F7      	MOVWF      R4+3
0x0082	0x2257      	CALL       _Mul_32x32_FP
0x0083	0x236F      	CALL       _double2int
0x0084	0x0870      	MOVF       R0, 0
0x0085	0x00AC      	MOVWF      _getMoist
0x0086	0x0871      	MOVF       R0+1, 0
0x0087	0x00AD      	MOVWF      _getMoist+1
;TheProject.c,84 :: 		if(getMoist<setMoist)
0x0088	0x3080      	MOVLW      128
0x0089	0x0671      	XORWF      R0+1, 0
0x008A	0x00F2      	MOVWF      R2
0x008B	0x3080      	MOVLW      128
0x008C	0x0654      	XORWF      _SetMoist+1, 0
0x008D	0x0272      	SUBWF      R2, 0
0x008E	0x1D03      	BTFSS      STATUS, 2
0x008F	0x2892      	GOTO       L__interrupt52
0x0090	0x0853      	MOVF       _SetMoist, 0
0x0091	0x0270      	SUBWF      R0, 0
L__interrupt52:
0x0092	0x1803      	BTFSC      STATUS, 0
0x0093	0x2896      	GOTO       L_interrupt11
;TheProject.c,86 :: 		portc.b0=0b1;
0x0094	0x1407      	BSF        PORTC, 0
;TheProject.c,87 :: 		}
0x0095	0x28A3      	GOTO       L_interrupt12
L_interrupt11:
;TheProject.c,88 :: 		else if(getMoist>setMoist)
0x0096	0x3080      	MOVLW      128
0x0097	0x0654      	XORWF      _SetMoist+1, 0
0x0098	0x00F0      	MOVWF      R0
0x0099	0x3080      	MOVLW      128
0x009A	0x062D      	XORWF      _getMoist+1, 0
0x009B	0x0270      	SUBWF      R0, 0
0x009C	0x1D03      	BTFSS      STATUS, 2
0x009D	0x28A0      	GOTO       L__interrupt53
0x009E	0x082C      	MOVF       _getMoist, 0
0x009F	0x0253      	SUBWF      _SetMoist, 0
L__interrupt53:
0x00A0	0x1803      	BTFSC      STATUS, 0
0x00A1	0x28A3      	GOTO       L_interrupt13
;TheProject.c,90 :: 		portc.b0=0b0;
0x00A2	0x1007      	BCF        PORTC, 0
;TheProject.c,91 :: 		}
L_interrupt13:
L_interrupt12:
;TheProject.c,92 :: 		} //end moisture
L_interrupt10:
;TheProject.c,94 :: 		if(screenCounter==500)
0x00A3	0x0860      	MOVF       _screenCounter+1, 0
0x00A4	0x3A01      	XORLW      1
0x00A5	0x1D03      	BTFSS      STATUS, 2
0x00A6	0x28A9      	GOTO       L__interrupt54
0x00A7	0x30F4      	MOVLW      244
0x00A8	0x065F      	XORWF      _screenCounter, 0
L__interrupt54:
0x00A9	0x1D03      	BTFSS      STATUS, 2
0x00AA	0x28AF      	GOTO       L_interrupt14
;TheProject.c,96 :: 		screenCounter=0;
0x00AB	0x01DF      	CLRF       _screenCounter
0x00AC	0x01E0      	CLRF       _screenCounter+1
;TheProject.c,97 :: 		turnON=0;
0x00AD	0x01AA      	CLRF       _turnON
0x00AE	0x01AB      	CLRF       _turnON+1
;TheProject.c,98 :: 		}
L_interrupt14:
;TheProject.c,100 :: 		intcon.b2=0;
0x00AF	0x110B      	BCF        INTCON, 2
;TheProject.c,101 :: 		}
L_interrupt9:
;TheProject.c,104 :: 		}
L_end_interrupt:
L__interrupt48:
0x00B0	0x0829      	MOVF       41, 0
0x00B1	0x00F0      	MOVWF      R0
0x00B2	0x0828      	MOVF       40, 0
0x00B3	0x00F1      	MOVWF      R1
0x00B4	0x0827      	MOVF       39, 0
0x00B5	0x00F4      	MOVWF      R4
0x00B6	0x0826      	MOVF       38, 0
0x00B7	0x00F5      	MOVWF      R5
0x00B8	0x0825      	MOVF       37, 0
0x00B9	0x00F8      	MOVWF      R8
0x00BA	0x0824      	MOVF       36, 0
0x00BB	0x00FA      	MOVWF      R10
0x00BC	0x0823      	MOVF       35, 0
0x00BD	0x00FB      	MOVWF      R11
0x00BE	0x0822      	MOVF       34, 0
0x00BF	0x00FC      	MOVWF      R12
0x00C0	0x0821      	MOVF       33, 0
0x00C1	0x00FD      	MOVWF      R13
0x00C2	0x0864      	MOVF       ___savePCLATH, 0
0x00C3	0x008A      	MOVWF      PCLATH
0x00C4	0x0E63      	SWAPF      ___saveSTATUS, 0
0x00C5	0x0083      	MOVWF      STATUS
0x00C6	0x0EFF      	SWAPF      R15, 1
0x00C7	0x0E7F      	SWAPF      R15, 0
0x00C8	0x0009      	RETFIE
; end of _interrupt
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x00C9	0x0000      	NOP
0x00CA	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x00CB	0x0008      	RETURN
; end of _Delay_1us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x00CC	0x3021      	MOVLW      33
0x00CD	0x1283      	BCF        STATUS, 5
0x00CE	0x1303      	BCF        STATUS, 6
0x00CF	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x00D0	0x0BFD      	DECFSZ     R13, 1
0x00D1	0x28D0      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x00D2	0x0008      	RETURN
; end of _Delay_50us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x00D3	0x300F      	MOVLW      15
0x00D4	0x1283      	BCF        STATUS, 5
0x00D5	0x1303      	BCF        STATUS, 6
0x00D6	0x00FC      	MOVWF      R12
0x00D7	0x3047      	MOVLW      71
0x00D8	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x00D9	0x0BFD      	DECFSZ     R13, 1
0x00DA	0x28D9      	GOTO       L_Delay_5500us5
0x00DB	0x0BFC      	DECFSZ     R12, 1
0x00DC	0x28D9      	GOTO       L_Delay_5500us5
0x00DD	0x0000      	NOP
0x00DE	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x00DF	0x0008      	RETURN
; end of _Delay_5500us
_RES032:
;__Lib_MathDouble.c,123 :: 		
;__Lib_MathDouble.c,128 :: 		
0x00E0	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,129 :: 		
0x00E1	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,130 :: 		
0x00E2	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,131 :: 		
0x00E3	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,132 :: 		
0x00E4	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,133 :: 		
0x00E5	0x3000      	MOVLW      0
;__Lib_MathDouble.c,135 :: 		
L_end_RES032:
0x00E6	0x0008      	RETURN
; end of _RES032
_SETFUN32:
;__Lib_MathDouble.c,138 :: 		
;__Lib_MathDouble.c,145 :: 		
0x00E7	0x157B      	BSF        R11, 2
;__Lib_MathDouble.c,146 :: 		
0x00E8	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,147 :: 		
0x00E9	0x28F1      	GOTO       SETFUN32EEE
;__Lib_MathDouble.c,148 :: 		
0x00EA	0x3001      	MOVLW      1
;__Lib_MathDouble.c,149 :: 		
0x00EB	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,150 :: 		
0x00EC	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,151 :: 		
0x00ED	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,152 :: 		
0x00EE	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,153 :: 		
0x00EF	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,154 :: 		
0x00F0	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,155 :: 		
SETFUN32EEE:
;__Lib_MathDouble.c,156 :: 		
0x00F1	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,158 :: 		
L_end_SETFUN32:
0x00F2	0x0008      	RETURN
; end of _SETFUN32
_FIXSIGN32:
;__Lib_MathDouble.c,112 :: 		
;__Lib_MathDouble.c,116 :: 		
0x00F3	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,117 :: 		
0x00F4	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,118 :: 		
0x00F5	0x3000      	MOVLW      0
;__Lib_MathDouble.c,120 :: 		
L_end_FIXSIGN32:
0x00F6	0x0008      	RETURN
; end of _FIXSIGN32
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00F7	0x1283      	BCF        STATUS, 5
0x00F8	0x1303      	BCF        STATUS, 6
0x00F9	0x1BEC      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00FA	0x28FD      	GOTO       L__Lcd_Cmd21
0x00FB	0x1307      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00FC	0x28FE      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00FD	0x1707      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00FE	0x1B6C      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00FF	0x2902      	GOTO       L__Lcd_Cmd23
0x0100	0x1287      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x0101	0x2903      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x0102	0x1687      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x0103	0x1AEC      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x0104	0x2907      	GOTO       L__Lcd_Cmd25
0x0105	0x1207      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x0106	0x2908      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x0107	0x1607      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x0108	0x1A6C      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x0109	0x290C      	GOTO       L__Lcd_Cmd27
0x010A	0x1187      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x010B	0x290D      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x010C	0x1587      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x010D	0x1865      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x010E	0x2911      	GOTO       L__Lcd_Cmd29
0x010F	0x1487      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x0110	0x2912      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x0111	0x1087      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x0112	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x0113	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x0114	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x0115	0x19EC      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x0116	0x2919      	GOTO       L__Lcd_Cmd31
0x0117	0x1307      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x0118	0x291A      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x0119	0x1707      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x011A	0x196C      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x011B	0x291E      	GOTO       L__Lcd_Cmd33
0x011C	0x1287      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x011D	0x291F      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x011E	0x1687      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x011F	0x18EC      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x0120	0x2923      	GOTO       L__Lcd_Cmd35
0x0121	0x1207      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x0122	0x2924      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x0123	0x1607      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x0124	0x186C      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x0125	0x2928      	GOTO       L__Lcd_Cmd37
0x0126	0x1187      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x0127	0x2929      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x0128	0x1587      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x0129	0x1865      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x012A	0x292D      	GOTO       L__Lcd_Cmd39
0x012B	0x1487      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x012C	0x292E      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x012D	0x1087      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x012E	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x012F	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x0130	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x0131	0x1C65      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0132	0x2935      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x0133	0x20D3      	CALL       _Delay_5500us
0x0134	0x2936      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x0135	0x20CC      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0136	0x0008      	RETURN
; end of _Lcd_Cmd
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x0137	0x1283      	BCF        STATUS, 5
0x0138	0x1303      	BCF        STATUS, 6
0x0139	0x0862      	MOVF       ___DoICPAddr+1, 0
0x013A	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x013B	0x0861      	MOVF       ___DoICPAddr, 0
0x013C	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x013D	0x0008      	RETURN
; end of _____DoICP
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x013E	0x1283      	BCF        STATUS, 5
0x013F	0x1303      	BCF        STATUS, 6
0x0140	0x1065      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x0141	0x086B      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x0142	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0143	0x20F7      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x0144	0x1465      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x0145	0x0008      	RETURN
; end of _Lcd_Chr_CP
_Div_16x16_S_L:
;__Lib_Math.c,421 :: 		
;__Lib_Math.c,427 :: 		
0x0146	0x0D71      	RLF        R1, 0
;__Lib_Math.c,428 :: 		
0x0147	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,429 :: 		
0x0148	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,430 :: 		
0x0149	0x0874      	MOVF       R4, 0
;__Lib_Math.c,431 :: 		
0x014A	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,432 :: 		
0x014B	0x0875      	MOVF       R5, 0
;__Lib_Math.c,433 :: 		
0x014C	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,434 :: 		
0x014D	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,435 :: 		
0x014E	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,436 :: 		
0x014F	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,437 :: 		
0x0150	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,439 :: 		
0x0151	0x300F      	MOVLW      15
;__Lib_Math.c,440 :: 		
0x0152	0x00FC      	MOVWF      R12
;__Lib_Math.c,442 :: 		
0x0153	0x0D71      	RLF        R1, 0
;__Lib_Math.c,443 :: 		
0x0154	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,444 :: 		
0x0155	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,445 :: 		
0x0156	0x0874      	MOVF       R4, 0
;__Lib_Math.c,447 :: 		
0x0157	0x1C70      	BTFSS      R0, 0
;__Lib_Math.c,448 :: 		
0x0158	0x295F      	GOTO       $+7
;__Lib_Math.c,449 :: 		
0x0159	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,450 :: 		
0x015A	0x0875      	MOVF       R5, 0
;__Lib_Math.c,451 :: 		
0x015B	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,452 :: 		
0x015C	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,453 :: 		
0x015D	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,454 :: 		
0x015E	0x2964      	GOTO       $+6
;__Lib_Math.c,456 :: 		
0x015F	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,457 :: 		
0x0160	0x0875      	MOVF       R5, 0
;__Lib_Math.c,458 :: 		
0x0161	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,459 :: 		
0x0162	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,460 :: 		
0x0163	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,462 :: 		
0x0164	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,463 :: 		
0x0165	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,465 :: 		
0x0166	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,466 :: 		
0x0167	0x2953      	GOTO       $-20
;__Lib_Math.c,468 :: 		
0x0168	0x1870      	BTFSC      R0, 0
;__Lib_Math.c,469 :: 		
0x0169	0x2970      	GOTO       $+7
;__Lib_Math.c,470 :: 		
0x016A	0x0874      	MOVF       R4, 0
;__Lib_Math.c,471 :: 		
0x016B	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,472 :: 		
0x016C	0x0875      	MOVF       R5, 0
;__Lib_Math.c,473 :: 		
0x016D	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,474 :: 		
0x016E	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,475 :: 		
0x016F	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,476 :: 		
0x0170	0x0000      	NOP
;__Lib_Math.c,478 :: 		
L_end_Div_16x16_S_L:
0x0171	0x0008      	RETURN
; end of _Div_16x16_S_L
_SETFOV32:
;__Lib_MathDouble.c,79 :: 		
;__Lib_MathDouble.c,86 :: 		
0x0172	0x14FB      	BSF        R11, 1
;__Lib_MathDouble.c,87 :: 		
0x0173	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,88 :: 		
0x0174	0x297C      	GOTO       SETFOV32EEE
;__Lib_MathDouble.c,89 :: 		
0x0175	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,90 :: 		
0x0176	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,91 :: 		
0x0177	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,92 :: 		
0x0178	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,93 :: 		
0x0179	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,94 :: 		
0x017A	0x0DFA      	RLF        R10, 1
